page_route,page_name,page_purpose,section_or_widget,source_file,source_provider,update_cadence,json_key_path,display_label,data_type,sample_data,formula_or_transform,description,team_notes
/monitor/[ticker]/alert-rules,Alert Rules,Alert rule definitions and notification destinations.,CSV index,alert-rules.csv,1 import_data source file(s),See page CSV,alerts/alert_rules.json,Alert Rules,index,19 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Alert Rules.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,CSV index,api-connectors.csv,1 import_data source file(s),See page CSV,metadata/source_map.json,Api Connectors,index,10 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Api Connectors.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/billing,Billing,Billing and plan management screen; currently mostly static account UI.,CSV index,billing.csv,0 import_data source file(s),See page CSV,,Billing,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Billing.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/companies,Companies,Company workspace management screen; currently demo account/company list.,CSV index,companies.csv,0 import_data source file(s),See page CSV,,Companies,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Companies.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/daily/[date],Date,Daily market activity detail page; currently date-driven mock calendar data.,CSV index,daily__date.csv,0 import_data source file(s),See page CSV,,Date,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Date.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,CSV index,daily-brief.csv,1 import_data source file(s),See page CSV,reports/daily_brief.json,Daily Brief,index,16 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Daily Brief.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/dashboard,Dashboard,"Executive command dashboard combining short, lending, ownership, insider, options, news, sentiment, alerts, and internal float data.",CSV index,dashboard.csv,26 import_data source file(s),See page CSV,alerts/alerts.json; company/capital_structure.json; company/profile.json; insider/insider_transactions.json; insider/net_insider_activity.json; internal_float/float_adjustments.json; news_filings/news.json; news_filings/sec_filings.json; options/expiration_wall.json; options/gamma_exposure.json; options/open_interest.json; options/options_summary.json; options/put_call_ratio.json; ownership/activist_filings.json; ownership/ownership_changes.json; ownership/ownership_trend.json; ownership/top_holders.json; price/technical_summary.json; reports/dashboard_metrics.json; sentiment/social_mentions.json; short/borrow_fee.json; short/on_loan.json; short/shares_available.json; short/short_interest.json; short/short_score.json; short/utilization.json,Dashboard,index,794 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Dashboard.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/data-dictionary,Data Dictionary,Human-readable data dictionary for normalized import fields.,CSV index,data-dictionary.csv,1 import_data source file(s),See page CSV,metadata/data_dictionary.json,Data Dictionary,index,6 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Data Dictionary.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/email-settings,Email Settings,Delivery schedule and recipients; currently local account/email API state.,CSV index,email-settings.csv,0 import_data source file(s),See page CSV,,Email Settings,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Email Settings.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/event-calendar,Event Calendar,Catalyst and filing calendar.,CSV index,event-calendar.csv,3 import_data source file(s),See page CSV,news_filings/sec_filings.json; options/expiration_wall.json; reports/daily_brief.json,Event Calendar,index,50 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Event Calendar.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/import-data,Import Data,Import data pool summary driven by source map and file metadata.,CSV index,import-data.csv,2 import_data source file(s),See page CSV,metadata/import_log.json; metadata/source_map.json,Import Data,index,20 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Import Data.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/insider,Insider,Insider transaction activity and net insider activity.,CSV index,insider.csv,2 import_data source file(s),See page CSV,insider/insider_transactions.json; insider/net_insider_activity.json,Insider,index,41 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Insider.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/institutional,Institutional,Institutional ownership table based on security ownership data.,CSV index,institutional.csv,1 import_data source file(s),See page CSV,ownership/security_ownership.json,Institutional,index,28 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Institutional.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/internal-float,Internal Float,Private internal float inputs and derived float adjustment calculations.,CSV index,internal-float.csv,2 import_data source file(s),See page CSV,internal_float/internal_float_analysis.json; internal_float/manual_holdings.json,Internal Float,index,58 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Internal Float.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/lending-pressure,Lending Pressure,"Borrow fee, share availability, utilization, and on-loan lending pressure page.",CSV index,lending-pressure.csv,4 import_data source file(s),See page CSV,short/borrow_fee.json; short/on_loan.json; short/shares_available.json; short/utilization.json,Lending Pressure,index,190 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Lending Pressure.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/manual-float-inputs,Manual Float Inputs,Redirect/helper route for internal float manual input workflow.,CSV index,manual-float-inputs.csv,0 import_data source file(s),See page CSV,,Manual Float Inputs,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Manual Float Inputs.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/market-defense,Market Defense,Market defense workflow page; currently static future workflow content.,CSV index,market-defense.csv,0 import_data source file(s),See page CSV,,Market Defense,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Market Defense.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/news,News,"News, SEC filings, filing summaries, and press release stream.",CSV index,news.csv,4 import_data source file(s),See page CSV,news_filings/filing_summaries.json; news_filings/news.json; news_filings/press_releases.json; news_filings/sec_filings.json,News,index,63 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for News.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/notifications,Notifications,Notification preferences screen; currently static workflow UI.,CSV index,notifications.csv,0 import_data source file(s),See page CSV,,Notifications,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Notifications.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/options-report,Options Report,Generated options report data preview.,CSV index,options-report.csv,4 import_data source file(s),See page CSV,options/gamma_exposure.json; options/options_summary.json; options/put_call_ratio.json; reports/options_report.json,Options Report,index,81 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Options Report.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",CSV index,options.csv,5 import_data source file(s),See page CSV,options/expiration_wall.json; options/gamma_exposure.json; options/open_interest.json; options/options_summary.json; options/put_call_ratio.json,Options,index,94 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Options.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/,Workspace Overview,Workspace overview landing page using dashboard/provider/mock account data.,CSV index,overview.csv,0 import_data source file(s),See page CSV,,Workspace Overview,index,1 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Workspace Overview.,Open this CSV in Excel for field-level mapping.
/monitor/[ticker]/ownership-report,Ownership Report,Generated ownership report data preview.,CSV index,ownership-report.csv,3 import_data source file(s),See page CSV,ownership/institutional_holdings.json; ownership/ownership_changes.json; reports/ownership_report.json,Ownership Report,index,72 mapping row(s),"One CSV generated per monitor page route. Derived metrics are normal JSON keys, not UI rows.",Mapping reference for Ownership Report.,Open this CSV in Excel for field-level mapping.
