page_route,page_name,page_purpose,section_or_widget,source_file,source_provider,update_cadence,json_key_path,display_label,data_type,sample_data,formula_or_transform,description,team_notes
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,ticker,Ticker,string,CURR,Direct value from normalized JSON envelope,Stock ticker symbol for the issuer workspace.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,asOfDate,As Of Date,string,2026-05-26,Direct value from normalized JSON envelope,Business date represented by the imported data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,importedAt,Imported At,string,2026-05-26T11:26:45.496Z,Direct value from normalized JSON envelope,Timestamp when the file was copied or normalized into import_data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,source,Source,string,Placeholder,Direct value from normalized JSON envelope,Human-readable source note for this normalized file.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,sourcePlatform,Source Platform,string,Internal,Direct value from normalized JSON envelope,Expected data provider or platform.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,recordType,Record Type,string,dailyBrief,Direct value from normalized JSON envelope,Semantic type of the JSON file.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,category,Category,string,reports,Direct value from normalized JSON envelope,Category used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,recordCount,Record Count,number,1,Number of records in the envelope data payload,Number of top-level records in the data payload.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,status,Status,string,ready,Direct value from normalized JSON envelope,Status used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,notes,Notes,string,Report generator can write approved report JSON here.,Direct value from normalized JSON envelope,Notes used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,originalFiles,Original Files,array,0 records,Direct value from normalized JSON envelope,Original Files used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,data,Data,object,"{""title"":""Daily Brief"",""generatedAt"":null,""status"":""placeholder"",""sections"":[]}",Direct value from normalized JSON envelope,Data used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,data.title,Title,string,Daily Brief,Direct value from normalized JSON envelope,Title used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,data.generatedAt,Generated At,null,,Direct value from normalized JSON envelope,Generated At used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,data.status,Status,string,placeholder,Direct value from normalized JSON envelope,Status used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/daily-brief,Daily Brief,Daily executive brief rendered from generated report JSON.,reports,import_data/reports/daily_brief.json,Internal,on report generation,data.sections,Sections,array,0 records,Direct value from normalized JSON envelope,Sections used by reports/daily_brief views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
