ID,Group,Data Point,Portal UI,Data Type,Data Source,API Period,Update frequency,Vendor Name,File Name,API / Web link,Logic,Input Field,System Output field,Remarks,
20260709216,Daily Close Report,Report Version,Daily Report - PDF Template,string,C: Backend,-,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Set to the active report data-contract version.,,reportVersion,Required for backward-compatible report rendering.,
20260709217,Daily Close Report,Report Generated At,Daily Report - PDF Template,datetime,C: Backend,-,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Timestamp when the report dataset is finalized for rendering.,,generatedAt,Store as ISO 8601 with timezone.,
20260709218,Daily Close Report,Closing Risk Status,"Daily Report - Cover, Daily Report - Executive Close, Daily Report - Next Session",text,C: Backend,Current and prior valid market session,Daily after market close,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Rule-engine classification based on the day's triggered alerts and short/lending posture. Exact aggregation policy requires business approval.,,status,Example values: Low Closing Risk; Moderate Closing Risk; High Closing Risk; Extreme Closing Risk.,
20260709219,Daily Close Report,Report Data Coverage Label,"Daily Report - Cover, Daily Report - Executive Close",text,C: Backend,Exact report date,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Summarize the readiness of all required report domains. Complete only when every required domain is complete; otherwise Partial.,,dataCoverage.label,Do not infer readiness from carried-forward values.,
20260709220,Daily Close Report,Closing Market Data Readiness,Daily Report - Report Readiness,text,C: Backend,Exact report date,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Complete when exact-date close price and required daily market fields are available; otherwise Pending or Partial.,,dataCoverage.items[].closingMarketData,Allowed display states: AVAILABLE; PARTIAL; PENDING.,
20260709221,Daily Close Report,Short and Lending Data Readiness,Daily Report - Report Readiness,text,C: Backend,Exact report date,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Complete when exact-date required short and lending fields pass validation.,,dataCoverage.items[].shortAndLendingData,Must use the report publication-readiness rule rather than stale prior values.,
20260709222,Daily Close Report,Social Sentiment Data Readiness,Daily Report - Report Readiness,text,C: Backend,Previous 24 hours,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Complete when the social collection window has closed and all enabled platforms have completed ingestion.,,dataCoverage.items[].socialSentimentData,Platforms with legitimately zero records are complete; failed ingestion is pending.,
20260709223,Daily Close Report,Filings and Events Data Readiness,Daily Report - Report Readiness,text,C: Backend,Report window,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Complete when SEC filings and verified-event ingestion have completed for the report window.,,dataCoverage.items[].filingsAndEvents,Do not treat no new events as missing data.,
20260709224,Daily Close Report,Missing Data List,Daily Report - Report Readiness,list,C: Backend,Exact report date,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,List every required report field that is unavailable with its source domain and expected availability.,,dataCoverage.missingFields,Used by report readiness and AI uncertainty statements.,
20260709225,Stock Price,Prior Close,"Daily Report - Market Performance, Daily Report - Executive Close",number,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_{ticker}_{YYYY-MM-DD}.json,GET /market-data/history,Previous valid market session closing price.,,market.priorClose,Must not use the same session's last intraday quote.,
20260709226,Stock Price,Opening Price,Daily Report - Market Performance,number,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_{ticker}_{YYYY-MM-DD}.json,GET /market-data/history,Official or consolidated opening price for the report session.,,market.openPrice,Needed for market-context analysis.,
20260709227,Stock Price,Closing Price,"Daily Report - Cover, Daily Report - Executive Close, Daily Report - Market Performance",number,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_{ticker}_{YYYY-MM-DD}.json,GET /market-data/history,Official or consolidated closing price for the report session.,,market.closePrice,This is distinct from the existing generic delayed quote field named price.,
20260709228,Stock Price,Intraday High,Daily Report - Market Performance,number,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_{ticker}_{YYYY-MM-DD}.json,GET /market-data/history,Highest valid traded price during the regular session.,,market.intradayHigh,Exclude invalid and out-of-session observations according to the market-data policy.,
20260709229,Stock Price,Intraday Low,Daily Report - Market Performance,number,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_{ticker}_{YYYY-MM-DD}.json,GET /market-data/history,Lowest valid traded price during the regular session.,,market.intradayLow,Exclude invalid and out-of-session observations according to the market-data policy.,
20260709230,Stock Price,Daily Price Change,"Daily Report - Executive Close, Daily Report - Market Performance",number,C: Backend,Current and prior valid market session,Daily after market close,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,closingPrice - priorClose,,market.dailyPriceChange,Return null when either required value is missing.,
20260709231,Stock Price,Daily Return Percent,"Daily Report - Executive Close, Daily Report - Market Performance, Daily Report - Top Daily Alerts",percentage,C: Backend,Current and prior valid market session,Daily after market close,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,(closingPrice - priorClose) / priorClose * 100,,market.dailyReturnPercent,Return null when priorClose is missing or zero.,
20260709232,Trading Volume,Trade Volume,"Daily Report - Executive Close, Daily Report - Market Performance",number,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_{ticker}_{YYYY-MM-DD}.json,GET /market-data/history,Total consolidated regular-session trading volume.,,market.tradeVolume,Do not substitute reported short-volume venue totals for consolidated market volume.,
20260709233,Trading Volume,20-Day Average Trade Volume,Daily Report - Market Performance,number,C: Backend,Latest 20 valid market sessions,Daily after market close,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Arithmetic mean of tradeVolume over the prior 20 valid market sessions excluding the current session.,,market.averageTradeVolume20D,Require an agreed minimum number of valid observations before publishing.,
