page_route,page_name,page_purpose,section_or_widget,source_file,source_provider,update_cadence,json_key_path,display_label,data_type,sample_data,formula_or_transform,description,team_notes
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,importedAt,Imported At,string,2026-05-27T09:00:00.000Z,Direct value from normalized JSON envelope,Timestamp when the file was copied or normalized into import_data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,recordCount,Record Count,number,55,Number of records in the envelope data payload,Number of top-level records in the data payload.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data,Data,array,55 records,Direct value from normalized JSON envelope,Data used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[],Data,object,"{""file"":""import_data/ownership/security_ownership.json"",""category"":""ownership"",""expectedSource"":""Fintel/WhaleWisdom"",""connectorOwner"":""backend"",""updateCadenc...",Direct value from normalized JSON envelope,Data used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[].file,File,string,import_data/ownership/security_ownership.json,Direct value from normalized JSON envelope,File used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[].category,Category,string,ownership,Direct value from normalized JSON envelope,Category used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[].expectedSource,Expected Source,string,Fintel/WhaleWisdom,Direct value from normalized JSON envelope,Expected Source used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[].connectorOwner,Connector Owner,string,backend,Direct value from normalized JSON envelope,Connector Owner used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[].updateCadence,Update Cadence,string,scheduled import,Direct value from normalized JSON envelope,Update Cadence used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/api-connectors,Api Connectors,Connector ownership and source readiness map.,metadata,import_data/metadata/source_map.json,TBD,scheduled import / Drive refresh,data[].status,Status,string,ready,Direct value from normalized JSON envelope,Status used by metadata/source_map views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
