page_route,page_name,page_purpose,section_or_widget,source_file,source_provider,update_cadence,json_key_path,display_label,data_type,sample_data,formula_or_transform,description,team_notes
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,importedAt,Imported At,string,2026-06-04T05:36:10.381Z,Direct value from normalized JSON envelope,Imported At used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,recordCount,Record Count,number,56,Direct value from normalized JSON envelope,Record Count used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data,Data,array,56 records,Direct value from normalized JSON envelope,Data used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[],Data,object,"{""file"":""import_data/company/profile.json"",""category"":""company"",""expectedSource"":""Ortex/Fintel/Manual Upload"",""connectorOwner"":""backend"",""updateCadence"":""schedu",Direct value from normalized JSON envelope,Data used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].file,File,string,import_data/company/profile.json,Direct value from normalized JSON envelope,File used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].category,Category,string,company,Direct value from normalized JSON envelope,Category used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].expectedSource,Expected Source,string,Ortex/Fintel/Manual Upload,Direct value from normalized JSON envelope,Expected Source used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].connectorOwner,Connector Owner,string,backend,Direct value from normalized JSON envelope,Connector Owner used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].updateCadence,Update Cadence,string,scheduled import,Direct value from normalized JSON envelope,Update Cadence used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].status,Status,string,ready,Direct value from normalized JSON envelope,Status used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[],Data,object,"{""file"":""import_data/company/capital_structure.json"",""category"":""company"",""expectedSource"":""Ortex/Fintel"",""connectorOwner"":""backend"",""updateCadence"":""scheduled ",Direct value from normalized JSON envelope,Data used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].file,File,string,import_data/company/capital_structure.json,Direct value from normalized JSON envelope,File used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].category,Category,string,company,Direct value from normalized JSON envelope,Category used by Source Map.,Keep this key stable when updating Google Drive JSON.
/monitor/[ticker]/source-map,Source Map,Expected source/provider ownership for each import data file.,metadata,import_data/metadata/source_map.json,Internal,scheduled import / Drive refresh,data[].expectedSource,Expected Source,string,Ortex/Fintel,Direct value from normalized JSON envelope,Expected Source used by Source Map.,Keep this key stable when updating Google Drive JSON.
